Burkholderia graminis
Burkholderia mallei
Burkholderia multivorans
Burkholderia oklahomensis
Burkholderia phymatum
Burkholderia phytofirmans
Burkholderia pseudomallei
Burkholderia rhizoxinica
Burkholderia sp.
Burkholderia thailandensis
Burkholderia ubonensis
Burkholderia vietnamiensis
Burkholderia xenovorans
Burkholderiales bacterium
Butyrivibrio crossotus
Caedibacter taeniospiralis
Caldanaerobacter subterraneus
Caldicellulosiruptor bescii
Caldicellulosiruptor hydrothermalis
Caldicellulosiruptor kristjanssonii
Caldicellulosiruptor kronotskyensis
Caldicellulosiruptor lactoaceticus
Caldicellulosiruptor obsidiansis
Caldicellulosiruptor owensensis
Caldicellulosiruptor saccharolyticus
Calditerrivibrio nitroreducens
Caldivirga maquilingensis
Calyptogena okutanii
Caminibacter mediatlanticus
Campylobacter coli
Campylobacter concisus
Campylobacter curvus
Campylobacter fetus
Campylobacter gracilis
Campylobacter hominis
Campylobacter jejuni
Campylobacter lari
Campylobacter rectus
Campylobacter showae
Campylobacter upsaliensis
Campylobacterales bacterium
Capnocytophaga canimorsus
Capnocytophaga gingivalis
Capnocytophaga ochracea
Capnocytophaga sputigena
Carboxydothermus hydrogenoformans
Cardiobacterium hominis
Carnobacterium sp.
Catenibacterium mitsuokai
Catenulispora acidiphila
Catonella morbi
Caulobacter segnis
Caulobacter sp.
Caulobacter vibrioides
Cellulomonas flavigena
Cellvibrio japonicus
Cenarchaeum symbiosum
Chelativorans sp.
Chitinophaga pinensis
Chlamydia muridarum
Chlamydia trachomatis
Chlamydophila abortus
Chlamydophila caviae
Chlamydophila felis
Chlamydophila pneumoniae
Chlamydophila psittaci
Chlorobaculum parvum
Chlorobaculum tepidum
Chlorobium chlorochromatii
Chlorobium ferrooxidans
Chlorobium limicola
Chlorobium phaeobacteroides
Chlorobium phaeovibrioides
Chloroflexus aggregans
Chloroflexus aurantiacus
Chloroflexus sp.
Chloroherpeton thalassium
Chromobacterium violaceum
Chromohalobacter salexigens
Chryseobacterium gleum
Chthoniobacter flavus
Citreicella sp.
Citrobacter freundii
Citrobacter koseri
Citrobacter rodentium
Citrobacter sp.
Citrobacter youngae
Citromicrobium bathyomarinum
Clavibacter michiganensis
Clostridiales bacterium
Clostridiales genomosp.
Clostridium acetobutylicum
Clostridium asparagiforme
Clostridium bartlettii
Clostridium beijerinckii
Clostridium bolteae
Clostridium botulinum
Clostridium butyricum
Clostridium carboxidivorans
Clostridium cellulolyticum
Clostridium cellulovorans
Clostridium difficile
Clostridium hathewayi
Clostridium hiranonis
Clostridium hylemonae
Clostridium kluyveri
Clostridium lentocellum
Clostridium leptum
Clostridium ljungdahlii
Clostridium methylpentosum
Clostridium nexile
Clostridium novyi
Clostridium papyrosolvens
Clostridium perfringens
Clostridium phytofermentans
Clostridium proteoclasticum
Clostridium ramosum
Clostridium saccharolyticum
Clostridium scindens
Clostridium sp.
Clostridium spiroforme
Clostridium sporogenes
Clostridium sticklandii
Clostridium thermocellum
Collimonas fungivorans
Collinsella aerofaciens
Collinsella intestinalis
Collinsella stercoris
Colwellia psychrerythraea
Comamonas sp.
Comamonas testosteroni
Conexibacter woesei
Congregibacter litoralis
Coprobacillus sp.
Coprococcus comes
Coprococcus eutactus
Coprothermobacter proteolyticus
Coraliomargarita akajimensis
Corynebacterium accolens
Corynebacterium ammoniagenes
Corynebacterium amycolatum
Corynebacterium aurimucosum
Corynebacterium casei
Corynebacterium diphtheriae
Corynebacterium efficiens
Corynebacterium genitalium
Corynebacterium glucuronolyticum
Corynebacterium glutamicum
Corynebacterium jeikeium
Corynebacterium kroppenstedtii
Corynebacterium lipophiloflavum
Corynebacterium matruchotii
Corynebacterium pseudogenitalium
Corynebacterium pseudotuberculosis
Corynebacterium resistens
Corynebacterium sp.
Corynebacterium striatum
Corynebacterium tuberculostearicum
Corynebacterium urealyticum
Coxiella burnetii
Croceibacter atlanticus
Crocosphaera watsonii
Cronobacter sakazakii
Cronobacter turicensis
Cryptobacterium curtum
Cupriavidus metallidurans
Cupriavidus necator
Cupriavidus pinatubonensis
Cupriavidus taiwanensis
Cyanobium sp.
Cyanothece sp.
Cylindrospermopsis raciborskii
Cylindrospermum sp.
Cytophaga hutchinsonii
Dechloromonas aromatica
Deferribacter desulfuricans
Dehalococcoides ethenogenes
Dehalococcoides sp.
Dehalogenimonas lykanthroporepellens
Deinococcus deserti
Deinococcus geothermalis
Deinococcus radiodurans
Delftia acidovorans
Denitrovibrio acetiphilus
Dermacoccus sp.
Desulfarculus baarsii
Desulfatibacillum alkenivorans
Desulfitobacterium hafniense
Desulfobacterium autotrophicum
Desulfococcus oleovorans
Desulfohalobium retbaense
Desulfomicrobium baculatum
Desulfonatronospira thiodismutans
Desulfotalea psychrophila
Desulfotomaculum acetoxidans
Desulfotomaculum reducens
Desulfovibrio aespoeensis
Desulfovibrio desulfuricans
Desulfovibrio fructosovorans
Desulfovibrio magneticus
Desulfovibrio piger
Desulfovibrio salexigens
Desulfovibrio sp.
Desulfovibrio vulgaris
Desulfurispirillum indicum
Desulfurivibrio alkaliphilus
Desulfurococcus kamchatkensis
Desulfuromonas acetoxidans
Dethiobacter alkaliphilus
Dethiosulfovibrio peptidovorans
Dialister invisus
Dialister micraerophilus
Dichelobacter nodosus
Dickeya dadantii
Dickeya zeae
Dictyoglomus thermophilum
Dictyoglomus turgidum
Dinoroseobacter shibae
Dokdonia donghaensis
Dorea formicigenerans
Dorea longicatena
Dyadobacter fermentans
Edwardsiella ictaluri
Edwardsiella tarda
Eggerthella lenta
Ehrlichia canis
Ehrlichia chaffeensis
Ehrlichia ruminantium
Eikenella corrodens
Elusimicrobium minutum
Endoriftia persephone
Enhydrobacter aerosaccus
Enterobacter aerogenes
Enterobacter cancerogenus
Enterobacter cloacae
Enterobacter sp.
Enterococcus casseliflavus
Enterococcus faecalis
Enterococcus faecium
Enterococcus gallinarum
Enterococcus italicus
Epulopiscium sp.
Eremococcus coleocola
Erwinia amylovora
Erwinia billingiae
Erwinia pyrifoliae
Erwinia sp.
Erwinia tasmaniensis
Erysipelothrix rhusiopathiae
Erysipelotrichaceae bacterium
Erythrobacter litoralis
Erythrobacter sp.
Escherichia albertii
Escherichia coli
Escherichia fergusonii
Escherichia sp.
Ethanoligenens harbinense
Eubacterium biforme
Eubacterium cellulosolvens
Eubacterium dolichum
Eubacterium eligens
Eubacterium hallii
Eubacterium limosum
Eubacterium rectale
Eubacterium saburreum
Eubacterium saphenum
Eubacterium siraeum
Eubacterium ventriosum
Eubacterium yurii
Exiguobacterium arabatum
Exiguobacterium sibiricum
Exiguobacterium sp.
Faecalibacterium prausnitzii
Ferrimonas balearica
Ferroglobus placidus
Ferroplasma acidarmanus
Fervidobacterium nodosum
Fibrobacter succinogenes
Filifactor alocis
Finegoldia magna
Flavobacteria bacterium
Flavobacteriaceae bacterium
Flavobacteriales bacterium
Flavobacterium johnsoniae
Flavobacterium psychrophilum
Flavobacterium sp.
Fluoribacter dumoffii
Francisella novicida
Francisella philomiragia
Francisella tularensis
Frankia alni
Frankia sp.
Frankia symbiont
Fulvimarina pelagi
Fusobacterium gonidiaformans
Fusobacterium mortiferum
Fusobacterium nucleatum
Fusobacterium periodonticum
Fusobacterium sp.
Fusobacterium ulcerans
Fusobacterium varium
Gallionella capsiferriformans
Gardnerella vaginalis
Gemella haemolysans
Gemmata obscuriglobus
Gemmatimonas aurantiaca
Geobacillus kaustophilus
Geobacillus sp.
Geobacillus stearothermophilus
Geobacillus thermodenitrificans
Geobacillus thermoglucosidasius
Geobacter bemidjiensis
Geobacter lovleyi
Geobacter metallireducens
Geobacter sp.
Geobacter sulfurreducens
Geobacter uraniireducens
Geodermatophilus obscurus
Glaciecola sp.
Gloeobacter violaceus
Gluconacetobacter diazotrophicus
Gluconacetobacter hansenii
Gluconacetobacter xylinus
Gluconobacter oxydans
Gordonia bronchialis
Gordonia westfalica
Gramella forsetii
Granulibacter bethesdensis
Granulicatella adiacens
Granulicatella elegans
Grimontia hollisae
Haemophilus ducreyi
Haemophilus influenzae
Haemophilus parasuis
Hahella chejuensis
Halalkalicoccus jeotgali
Halanaerobium sp.
Haliangium ochraceum
Haloarcula marismortui
Halobacterium salinarum
Haloferax volcanii
Halogeometricum borinquense
Halomicrobium mukohataei
Halomonas elongata
Haloquadratum walsbyi
Halorhabdus utahensis
Halorhodospira halophila
Halorubrum lacusprofundi
Haloterrigena turkmenica
Halothermothrix orenii
Halothiobacillus neapolitanus
Helicobacter acinonychis
Helicobacter bilis
Helicobacter canadensis
Helicobacter cinaedi
Helicobacter felis
Helicobacter hepaticus
Helicobacter mustelae
Helicobacter pullorum
Helicobacter pylori
Helicobacter winghamensis
Heliobacterium modesticaldum
Herbaspirillum seropedicae
Herminiimonas arsenicoxydans
Herpetosiphon aurantiacus
Hirschia baltica
Histophilus somni
Hoeflea phototrophica
Holdemania filiformis
Hydrogenivirga sp.
Hydrogenobacter thermophilus
Hydrogenobaculum sp.
Hyperthermus butylicus
Hyphomicrobium denitrificans
Hyphomonas neptunium
Idiomarina baltica
Idiomarina loihiensis
Ignicoccus hospitalis
Ignisphaera aggregans
Ilyobacter polytropus
Intrasporangium calvum
Janibacter sp.
Jannaschia sp.
Janthinobacterium sp.
Jonesia denitrificans
Jonquetella anthropi
Kangiella koreensis
Ketogulonicigenium vulgare
Kineococcus radiotolerans
Kingella oralis
Klebsiella oxytoca
Klebsiella pneumoniae
Klebsiella sp.
Klebsiella variicola
Kocuria rhizophila
Kordia algicida
Kosmotoga olearia
Kribbella flavida
Ktedonobacter racemifer
Kytococcus sedentarius
Labrenzia aggregata
Labrenzia alexandrii
Lactobacillus acidipiscis
Lactobacillus acidophilus
Lactobacillus amylolyticus
Lactobacillus amylovorus
Lactobacillus antri
Lactobacillus brevis
Lactobacillus buchneri
Lactobacillus casei
Lactobacillus coleohominis
Lactobacillus crispatus
Lactobacillus curvatus
